Iteration,Temperature,CurrentCost ftv170
244,1.0184e+02,20883
245,1.0174e+02,19672
246,1.0164e+02,19971
247,1.0154e+02,19527
248,1.0143e+02,19675
249,1.0133e+02,21002
250,1.0123e+02,18336
251,1.0113e+02,20557
252,1.0103e+02,19396
253,1.0093e+02,18689
254,1.0083e+02,19731
255,1.0073e+02,20225
256,1.0063e+02,20383
257,1.0052e+02,19219
258,1.0042e+02,19911
259,1.0032e+02,19168
260,1.0022e+02,20235
261,1.0012e+02,20396
262,1.0002e+02,19504
263,9.9923e+01,19680
264,9.9823e+01,19806
265,9.9724e+01,20252
266,9.9624e+01,19745
267,9.9524e+01,20129
268,9.9425e+01,21142
269,9.9325e+01,19488
270,9.9226e+01,19296
271,9.9127e+01,19883
272,9.9028e+01,20185
273,9.8929e+01,20929
274,9.8830e+01,19518
275,9.8731e+01,19745
276,9.8632e+01,20392
277,9.8533e+01,18322
278,9.8435e+01,21062
279,9.8336e+01,20443
280,9.8238e+01,20460
281,9.8140e+01,19433
282,9.8042e+01,19009
283,9.7944e+01,19136
284,9.7846e+01,19388
285,9.7748e+01,19993
286,9.7650e+01,21528
287,9.7553e+01,18877
288,9.7455e+01,20745
289,9.7358e+01,20389
290,9.7260e+01,20612
291,9.7163e+01,21003
292,9.7066e+01,20004
293,9.6969e+01,18406
294,9.6872e+01,20747
295,9.6775e+01,19389
296,9.6678e+01,19469
297,9.6581e+01,19981
298,9.6485e+01,17616
299,9.6388e+01,20263
300,9.6292e+01,18572
301,9.6196e+01,19719
302,9.6099e+01,19120
303,9.6003e+01,20168
304,9.5907e+01,19457
305,9.5811e+01,20374
306,9.5716e+01,20485
307,9.5620e+01,19872
308,9.5524e+01,19458
309,9.5429e+01,20060
310,9.5333e+01,19139
311,9.5238e+01,19615
312,9.5143e+01,19591
313,9.5048e+01,19987
314,9.4953e+01,20477
315,9.4858e+01,18658
316,9.4763e+01,19679
317,9.4668e+01,19856
318,9.4573e+01,20216
319,9.4479e+01,21734
320,9.4384e+01,20194
321,9.4290e+01,19885
322,9.4196e+01,19517
323,9.4101e+01,19292
324,9.4007e+01,19582
325,9.3913e+01,19503
326,9.3819e+01,19297
327,9.3726e+01,19062
328,9.3632e+01,19340
329,9.3538e+01,19487
330,9.3445e+01,19815
331,9.3351e+01,18970
332,9.3258e+01,19519
333,9.3165e+01,18188
334,9.3071e+01,19960
335,9.2978e+01,19975
336,9.2885e+01,18749
337,9.2793e+01,19712
338,9.2700e+01,18685
339,9.2607e+01,19563
340,9.2514e+01,19486
341,9.2422e+01,19861
342,9.2329e+01,20696
343,9.2237e+01,18637
344,9.2145e+01,19246
345,9.2053e+01,19716
346,9.1961e+01,19264
347,9.1869e+01,19500
348,9.1777e+01,21182
349,9.1685e+01,19475
350,9.1593e+01,18834
351,9.1502e+01,18863
352,9.1410e+01,19305
353,9.1319e+01,17966
354,9.1228e+01,17637
355,9.1136e+01,18162
356,9.1045e+01,19448
357,9.0954e+01,19493
358,9.0863e+01,19235
359,9.0772e+01,21041
360,9.0682e+01,19369
361,9.0591e+01,19447
362,9.0500e+01,19970
363,9.0410e+01,18776
364,9.0319e+01,19500
365,9.0229e+01,17844
366,9.0139e+01,19060
367,9.0049e+01,19791
368,8.9959e+01,18761
369,8.9869e+01,19939
370,8.9779e+01,18793
371,8.9689e+01,20799
372,8.9599e+01,19530
373,8.9510e+01,19546
374,8.9420e+01,19902
375,8.9331e+01,18836
376,8.9242e+01,19206
377,8.9152e+01,19274
378,8.9063e+01,19323
379,8.8974e+01,18504
380,8.8885e+01,18734
381,8.8796e+01,18885
382,8.8707e+01,18952
383,8.8619e+01,19005
384,8.8530e+01,18387
385,8.8442e+01,19011
386,8.8353e+01,17743
387,8.8265e+01,18342
388,8.8176e+01,19030
389,8.8088e+01,19414
390,8.8000e+01,20297
391,8.7912e+01,19774
392,8.7824e+01,19200
393,8.7736e+01,19387
394,8.7649e+01,19002
395,8.7561e+01,19501
396,8.7474e+01,19090
397,8.7386e+01,18750
398,8.7299e+01,18512
399,8.7211e+01,18743
400,8.7124e+01,17947
401,8.7037e+01,21138
402,8.6950e+01,19805
403,8.6863e+01,19386
404,8.6776e+01,17754
405,8.6689e+01,19831
406,8.6603e+01,19266
407,8.6516e+01,18408
408,8.6430e+01,17608
409,8.6343e+01,18606
410,8.6257e+01,19336
411,8.6171e+01,18753
412,8.6084e+01,20032
413,8.5998e+01,18423
414,8.5912e+01,19210
415,8.5826e+01,18880
416,8.5741e+01,19656
417,8.5655e+01,19276
418,8.5569e+01,19900
419,8.5484e+01,19253
420,8.5398e+01,20317
421,8.5313e+01,19426
422,8.5227e+01,20455
423,8.5142e+01,19551
424,8.5057e+01,17863
425,8.4972e+01,18850
426,8.4887e+01,18202
427,8.4802e+01,20346
428,8.4717e+01,19063
429,8.4633e+01,19313
430,8.4548e+01,19373
431,8.4463e+01,18742
432,8.4379e+01,18486
433,8.4295e+01,19838
434,8.4210e+01,19372
435,8.4126e+01,19293
436,8.4042e+01,18567
437,8.3958e+01,18178
438,8.3874e+01,19117
439,8.3790e+01,19271
440,8.3706e+01,17297
441,8.3623e+01,17424
442,8.3539e+01,19057
443,8.3455e+01,18306
444,8.3372e+01,18842
445,8.3289e+01,16346
446,8.3205e+01,18195
447,8.3122e+01,16572
448,8.3039e+01,18310
449,8.2956e+01,20513
450,8.2873e+01,17683
451,8.2790e+01,18163
452,8.2707e+01,19135
453,8.2625e+01,16619
454,8.2542e+01,19250
455,8.2459e+01,18606
456,8.2377e+01,18895
457,8.2295e+01,18863
458,8.2212e+01,19387
459,8.2130e+01,18927
460,8.2048e+01,17351
461,8.1966e+01,19672
462,8.1884e+01,18505
463,8.1802e+01,19553
464,8.1720e+01,18369
465,8.1639e+01,18987
466,8.1557e+01,18518
467,8.1475e+01,18814
468,8.1394e+01,18355
469,8.1313e+01,19524
470,8.1231e+01,19119
471,8.1150e+01,19312
472,8.1069e+01,17768
473,8.0988e+01,16715
474,8.0907e+01,17858
475,8.0826e+01,19260
476,8.0745e+01,18490
477,8.0664e+01,19324
478,8.0584e+01,17682
479,8.0503e+01,18190
480,8.0423e+01,18262
481,8.0342e+01,17231
