Iteration,Temperature,CurrentCost d198
244,1.1046e+02,39837
245,1.1035e+02,38850
246,1.1024e+02,36959
247,1.1013e+02,38594
248,1.1002e+02,36273
249,1.0991e+02,37055
250,1.0980e+02,37296
251,1.0969e+02,34840
252,1.0958e+02,36631
253,1.0947e+02,36519
254,1.0936e+02,36227
255,1.0925e+02,37206
256,1.0914e+02,37942
257,1.0903e+02,36584
258,1.0892e+02,35925
259,1.0881e+02,37488
260,1.0870e+02,37592
261,1.0860e+02,37126
262,1.0849e+02,36425
263,1.0838e+02,36249
264,1.0827e+02,37689
265,1.0816e+02,37425
266,1.0805e+02,38488
267,1.0795e+02,38485
268,1.0784e+02,41396
269,1.0773e+02,40076
270,1.0762e+02,40846
271,1.0751e+02,37697
272,1.0741e+02,37625
273,1.0730e+02,35983
274,1.0719e+02,37365
275,1.0708e+02,37897
276,1.0698e+02,37928
277,1.0687e+02,39774
278,1.0676e+02,39703
279,1.0666e+02,37631
280,1.0655e+02,38988
281,1.0644e+02,35104
282,1.0634e+02,35296
283,1.0623e+02,35952
284,1.0613e+02,38036
285,1.0602e+02,37248
286,1.0591e+02,39220
287,1.0581e+02,37809
288,1.0570e+02,38042
289,1.0560e+02,37055
290,1.0549e+02,38715
291,1.0538e+02,37383
292,1.0528e+02,39527
293,1.0517e+02,36255
294,1.0507e+02,38725
295,1.0496e+02,38350
296,1.0486e+02,36691
297,1.0475e+02,36704
298,1.0465e+02,37584
299,1.0454e+02,36851
300,1.0444e+02,35631
301,1.0434e+02,36193
302,1.0423e+02,38442
303,1.0413e+02,40168
304,1.0402e+02,35471
305,1.0392e+02,35151
306,1.0381e+02,38232
307,1.0371e+02,36533
308,1.0361e+02,37049
309,1.0350e+02,35893
310,1.0340e+02,34844
311,1.0330e+02,35724
312,1.0319e+02,36345
313,1.0309e+02,39013
314,1.0299e+02,36028
315,1.0288e+02,35230
316,1.0278e+02,36993
317,1.0268e+02,38547
318,1.0258e+02,34658
319,1.0247e+02,35685
320,1.0237e+02,35183
321,1.0227e+02,36950
322,1.0217e+02,35645
323,1.0206e+02,37283
324,1.0196e+02,36218
325,1.0186e+02,36682
326,1.0176e+02,37594
327,1.0166e+02,37261
328,1.0155e+02,36143
329,1.0145e+02,35409
330,1.0135e+02,37181
331,1.0125e+02,36421
332,1.0115e+02,33939
333,1.0105e+02,34707
334,1.0095e+02,34547
335,1.0085e+02,35004
336,1.0074e+02,37865
337,1.0064e+02,37737
338,1.0054e+02,36870
339,1.0044e+02,33466
340,1.0034e+02,34296
341,1.0024e+02,35046
342,1.0014e+02,36005
343,1.0004e+02,35523
344,9.9942e+01,35619
345,9.9842e+01,35674
346,9.9742e+01,34652
347,9.9642e+01,35425
348,9.9543e+01,35953
349,9.9443e+01,34328
350,9.9344e+01,36441
351,9.9244e+01,35031
352,9.9145e+01,33827
353,9.9046e+01,36426
354,9.8947e+01,33785
355,9.8848e+01,34086
356,9.8749e+01,35162
357,9.8650e+01,33000
358,9.8552e+01,33935
359,9.8453e+01,35399
360,9.8355e+01,38601
361,9.8256e+01,38029
362,9.8158e+01,37014
363,9.8060e+01,35465
364,9.7962e+01,36952
365,9.7864e+01,38476
366,9.7766e+01,37067
367,9.7668e+01,37303
368,9.7571e+01,34369
369,9.7473e+01,34316
370,9.7376e+01,36434
